iter	Passed	Remaining
0	2	209
1	3	190
2	5	177
3	6	165
4	9	177
5	11	172
6	12	168
7	14	163
8	15	160
9	17	161
10	19	157
11	21	154
12	23	154
13	24	152
14	26	150
15	28	147
16	29	144
17	31	143
18	32	140
19	34	138
20	36	136
21	38	136
22	40	134
23	41	132
24	43	130
25	44	127
26	46	125
27	48	123
28	49	121
29	50	118
30	52	117
31	54	115
32	55	112
33	56	109
34	57	107
35	58	104
36	59	101
37	60	99
38	61	96
39	62	94
40	63	91
41	64	88
42	65	86
43	66	85
44	67	83
45	69	81
46	70	79
47	71	77
48	72	75
49	73	73
50	74	71
51	75	69
52	76	67
53	77	65
54	77	63
55	78	61
56	79	60
57	82	59
58	83	58
59	84	56
60	85	54
61	86	53
62	87	51
63	88	49
64	89	48
65	90	46
66	91	45
67	92	43
68	93	42
69	94	40
70	95	39
71	96	37
72	97	36
73	98	34
74	99	33
75	100	31
76	101	30
77	102	28
78	102	27
79	103	25
80	104	24
81	105	23
82	106	21
83	106	20
84	107	18
85	108	17
86	108	16
87	109	14
88	110	13
89	111	12
90	111	11
91	112	9
92	113	8
93	114	7
94	114	6
95	115	4
96	116	3
97	117	2
98	117	1
99	118	0
