iter	Passed	Remaining
0	155	155068
1	157	78446
2	159	52867
3	161	40152
4	163	32474
5	164	27312
6	166	23621
7	168	20926
8	170	18783
9	172	17031
10	174	15697
11	176	14493
12	176	13433
13	178	12536
14	178	11744
15	179	11041
16	180	10423
17	180	9872
18	182	9406
19	183	8969
20	183	8565
21	184	8190
22	184	7847
23	185	7533
24	185	7243
25	186	6987
26	187	6744
27	187	6517
28	188	6302
29	188	6102
30	189	5915
31	189	5739
32	190	5573
33	190	5418
34	191	5271
35	191	5133
36	192	5002
37	192	4879
38	193	4761
39	193	4649
40	194	4543
41	194	4443
42	195	4347
43	196	4263
44	196	4175
45	197	4095
46	197	4014
47	198	3936
48	199	3864
49	199	3793
50	200	3724
51	200	3658
52	201	3595
53	201	3534
54	202	3474
55	202	3417
56	203	3361
57	203	3308
58	204	3256
59	204	3206
60	205	3158
61	205	3111
62	206	3065
63	206	3022
64	207	2980
65	207	2939
66	208	2899
67	208	2860
68	209	2822
69	209	2786
70	210	2757
71	211	2724
72	212	2692
73	212	2659
74	213	2627
75	213	2599
76	214	2569
77	214	2539
78	215	2510
79	215	2481
80	216	2454
81	216	2427
82	217	2398
83	217	2372
84	218	2347
85	218	2322
86	219	2298
87	219	2275
88	220	2252
89	220	2230
90	221	2208
91	221	2187
92	222	2166
93	222	2146
94	223	2125
95	223	2105
96	224	2086
97	224	2067
98	225	2052
99	226	2035
100	226	2018
101	227	2001
102	227	1985
103	228	1968
104	228	1951
105	229	1935
106	229	1919
107	230	1903
108	231	1888
109	231	1873
110	232	1858
111	232	1843
112	233	1829
113	233	1814
114	234	1800
115	234	1787
116	234	1772
117	235	1759
118	235	1746
119	236	1733
120	236	1721
121	237	1708
122	237	1696
123	238	1684
124	238	1672
125	239	1660
126	240	1650
127	240	1640
128	241	1631
129	242	1620
130	242	1609
131	243	1598
132	243	1588
133	244	1577
134	244	1567
135	245	1557
136	245	1547
137	246	1537
138	246	1527
139	247	1518
140	247	1509
141	248	1498
142	248	1489
143	249	1480
144	249	1471
145	250	1462
146	250	1453
147	251	1445
148	251	1436
149	252	1428
150	252	1420
151	253	1412
152	253	1404
153	254	1396
154	255	1390
155	255	1384
156	256	1377
157	256	1369
158	257	1361
159	258	1354
160	258	1346
161	258	1339
162	259	1332
163	259	1324
164	260	1317
165	260	1310
166	261	1303
167	261	1296
168	262	1290
169	262	1283
170	263	1276
171	263	1270
172	264	1263
173	264	1257
174	265	1251
175	265	1245
176	266	1238
177	266	1232
178	267	1226
179	267	1220
180	268	1214
181	268	1208
182	270	1206
183	270	1200
184	271	1195
185	271	1189
186	272	1184
187	272	1178
188	273	1173
189	273	1167
190	274	1162
191	274	1156
192	275	1151
193	275	1145
194	276	1140
195	276	1135
196	277	1130
197	277	1125
198	278	1120
199	278	1115
200	279	1110
201	279	1105
202	280	1100
203	280	1095
204	281	1090
205	281	1086
206	282	1081
207	282	1076
208	283	1072
209	283	1068
210	284	1064
211	285	1062
212	286	1058
213	287	1054
214	287	1049
215	288	1045
216	288	1041
217	289	1036
218	289	1032
219	289	1028
220	290	1023
221	290	1019
222	291	1015
223	292	1011
224	292	1007
225	293	1003
226	293	999
227	294	995
228	294	991
229	295	987
230	295	983
231	295	979
232	296	976
233	296	972
234	297	968
235	297	964
236	298	960
237	298	957
238	300	955
239	300	952
240	301	949
241	302	946
242	302	942
243	303	938
244	303	935
245	304	932
246	304	928
247	305	925
248	305	921
249	306	918
250	306	914
251	307	911
252	307	908
253	308	904
254	308	901
255	309	898
256	309	894
257	310	891
258	310	888
259	311	885
260	311	882
261	312	879
262	312	875
263	313	872
264	313	869
265	314	867
266	315	866
267	316	864
268	317	861
269	317	858
270	318	855
271	318	852
272	319	849
